,Categoria,Year,Month,AvgViewers,ViewersGain,PercentageGainViewers,PeakViewers,HoursStreamed,HoursGain,% Gain,Followers,PercentageGainFollowers,FollowesGain,Perhour
19,Rubius,2023,Jun,23558,2392,11.3,49201.0,139.0,-13.5,-8.8%,"14,163,737","+74,214",+0.5%,+534
20,Rubius,2023,May,21166,-1977,-8.5,54099.0,152.0,+39.1,+34.5%,"14,089,523","+77,184",+0.6%,+506
21,Rubius,2023,Apr,23143,-10308,-30.8,68215.0,113.0,-18.3,-13.9%,"14,012,339","+85,048",+0.6%,+750
22,Rubius,2023,Mar,33451,-24594,-42.4,208057.0,132.0,+103,+352.7%,"13,927,291","+235,893",+1.7%,"+1,792"
23,Rubius,2023,Feb,58045,27423,89.6,357257.0,29.1,-116,-79.9%,"13,691,398","+185,977",+1.4%,"+6,395"
24,Rubius,2023,Jan,30622,4356,16.6,84494.0,145.0,+35.6,+32.6%,"13,505,421","+216,935",+1.6%,"+1,500"
25,Rubius,2022,Dec,26266,2041,8.4,64397.0,109.0,-26.9,-19.8%,"13,288,486","+83,505",+0.6%,+766
26,Rubius,2022,Nov,24225,-5325,-18.0,62593.0,136.0,+3.9,+2.9%,"13,204,981","+320,333",+2.5%,"+2,357"
27,Rubius,2022,Oct,29550,-3975,-11.9,61455.0,132.0,+6.2,+4.9%,"12,884,648","+75,227",+0.6%,+570
28,Rubius,2022,Sep,33525,-6877,-17.0,88640.0,126.0,+1.2,+1%,"12,809,421","+134,955",+1.1%,"+1,072"
29,Rubius,2022,Aug,40402,-41503,-50.7,100080.0,125.0,+26.3,+26.7%,"12,674,466","+228,910",+1.8%,"+1,836"
30,Rubius,2022,Jul,81905,43790,114.9,372079.0,98.4,-2.1,-2.1%,"12,445,556","+379,173",+3.1%,"+3,854"
31,Rubius,2022,Jun,38115,4854,14.6,174836.0,101.0,-42.3,-29.6%,"12,066,383","+181,752",+1.5%,"+1,809"
32,Rubius,2022,May,33261,-12813,-27.8,103072.0,143.0,+28.4,+24.9%,"11,884,631","+149,736",+1.3%,"+1,049"
33,Rubius,2022,Apr,46074,15584,51.1,241396.0,114.0,-83,-42.1%,"11,734,895","+215,937",+1.9%,"+1,889"
34,Rubius,2022,Mar,30490,-5397,-15.0,79688.0,197.0,+20.5,+11.6%,"11,518,958","+181,799",+1.6%,+922
35,Rubius,2022,Feb,35887,-13775,-27.7,84841.0,177.0,+21.5,+13.8%,"11,337,159","+244,673",+2.2%,"+1,384"
36,Rubius,2022,Jan,49662,10051,25.4,172176.0,155.0,+57.9,+59.4%,"11,092,486","+466,886",+4.4%,"+3,007"
37,Rubius,2021,Dec,39611,4786,13.7,146843.0,97.4,-19.7,-16.8%,"10,625,600","+177,683",+1.7%,"+1,824"
38,Rubius,2021,Nov,34825,-14569,-29.5,99445.0,117.0,-3.7,-3%,"10,447,917","+161,573",+1.6%,"+1,380"
